DOL Salary Data,,,,,,,,
:: Assumed Salaries shown in black font,,,,,,,,
,"Computer science teachers, postsecondary"," $68,580 "," $34,840 "," $36,970 "," $50,090 "," $68,580 "," $94,680 "," $125,690 "
,"Computer software engineers, applications"," $87,480 "," $28,904 "," $54,840 "," $69,230 "," $87,480 "," $107,710 "," $132,080 "
,"Computer software engineers, systems software"," $93,470 "," $30,227 "," $59,600 "," $74,520 "," $93,470 "," $116,510 "," $139,930 "
,"Computer specialists, all other"," $77,010 "," $24,773 "," $41,680 "," $58,460 "," $77,010 "," $96,890 "," $115,050 "
,Computer support specialists," $44,300 "," $17,830 "," $27,200 "," $34,320 "," $44,300 "," $57,290 "," $72,690 "
,Computer systems analysts," $77,080 "," $27,004 "," $47,130 "," $60,070 "," $77,080 "," $97,200 "," $119,170 "
,"Computer, automated teller, and office machine repairers"," $37,620 "," $13,690 "," $22,620 "," $29,100 "," $37,620 "," $48,190 "," $59,090 "
,"Computer-controlled machine tool operators, metal and plastic"," $34,460 "," $10,661 "," $22,510 "," $27,520 "," $34,460 "," $41,820 "," $50,710 "
,Concierges," $27,270 "," $9,317 "," $18,410 "," $22,120 "," $27,270 "," $33,900 "," $41,730 "
,Conservation scientists," $60,160 "," $18,260 "," $35,570 "," $46,140 "," $60,160 "," $73,340 "," $87,890 "
,Construction and building inspectors," $51,530 "," $17,944 "," $32,050 "," $40,250 "," $51,530 "," $64,760 "," $79,470 "
,Construction and extraction occupations," $38,770 "," $20,188 "," $22,660 "," $28,870 "," $38,770 "," $54,290 "," $71,950 "
,"Construction and related workers, all other"," $33,980 "," $14,399 "," $20,850 "," $26,330 "," $33,980 "," $43,570 "," $57,070 "
,Construction laborers," $29,150 "," $16,374 "," $18,430 "," $22,700 "," $29,150 "," $39,750 "," $56,270 "
,Construction managers," $82,330 "," $42,232 "," $49,320 "," $62,700 "," $82,330 "," $111,170 "," $151,630 "
,Continuous mining machine operators," $46,920 "," $10,701 "," $31,470 "," $38,400 "," $46,920 "," $54,550 "," $62,110 "
,"Control and valve installers and repairers, except mechanical door"," $47,240 "," $14,941 "," $27,240 "," $34,790 "," $47,240 "," $60,340 "," $70,110 "
,Conveyor operators and tenders," $28,960 "," $9,198 "," $19,490 "," $24,030 "," $28,960 "," $35,530 "," $43,050 "
,"Cooks, all other"," $22,850 "," $8,397 "," $15,890 "," $18,190 "," $22,850 "," $29,400 "," $36,040 "
,"Cooks, fast food"," $17,720 "," $3,658 "," $14,960 "," $15,980 "," $17,720 "," $19,490 "," $22,760 "
,"Cooks, institution and cafeteria"," $22,620 "," $7,407 "," $15,820 "," $18,310 "," $22,620 "," $28,130 "," $34,030 "
